SAMD11
NOC2L
KLHL17
PLEKHN1
HES4
ISG15
AGRN
C1orf159
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
FAM132A
UBE2J2
SCNN1D
ACAP3
PUSL1
CPSF3L
GLTPD1
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
RP4-758J18.2
MRPL20
ANKRD65
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
C1orf233
MIB2
SLC35E2
NADK
GNB1
CALML6
TMEM52
KIAA1751
GABRD
PRKCZ
C1orf86
SKI
MORN1
RER1
PEX10
PLCH2
PANK4
HES5
TNFRSF14
FAM213B
MMEL1
TTC34
PRDM16
ARHGEF16
MEGF6
TPRG1L
WRAP73
TP73
CCDC27
SMIM1
LRRC47
CEP104
DFFB
C1orf174
AJAP1
NPHP4
KCNAB2
CHD5
RPL22
RNF207
ICMT
GPR153
ACOT7
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
CAMTA1
VAMP3
PER3
UTS2
TNFRSF9
PARK7
ERRFI1
SLC45A1
RERE
ENO1
CA6
SLC2A7
SLC2A5
GPR157
H6PD
SPSB1
SLC25A33
TMEM201
PIK3CD
CLSTN1
CTNNBIP1
LZIC
NMNAT1
RBP7
UBE4B
KIF1B
PGD
APITD1-CORT
DFFA
PEX14
CASZ1
C1orf127
TARDBP
MASP2
SRM
EXOSC10
MTOR
UBIAD1
PTCHD2
FBXO2
FBXO44
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
MTHFR
CLCN6
NPPB
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF8
TNFRSF1B
VPS13D
DHRS3
AADACL4
AADACL3
C1orf158
HNRNPCL1
PRAMEF6
PRAMEF9
PRAMEF23
PRAMEF20
LRRC38
PDPN
PRDM2
KAZN
TMEM51
FHAD1
EFHD2
CTRC
CELA2A
CELA2B
CASP9
DNAJC16
DDI2
PLEKHM2
SLC25A34
FBLIM1
SPEN
ZBTB17
C1orf64
HSPB7
CLCNKA
CLCNKB
FAM131C
EPHA2
ARHGEF19
RSG1
FBXO42
SZRD1
SPATA21
NECAP2
NBPF1
CROCC
ATP13A2
SDHB
PADI2
PADI1
PADI3
PADI4
PADI6
RCC2
ARHGEF10L
ACTL8
IGSF21
PAX7
RP13-279N23.2
IFFO2
UBR4
EMC1
MRTO4
AKR7A3
AKR7A2
PQLC2
CAPZB
MINOS1-NBL1
NBL1
HTR6
TMCO4
OTUD3
PLA2G5
PLA2G2D
PLA2G2F
PLA2G2C
UBXN10
VWA5B1
CAMK2N1
MUL1
FAM43B
CDA
PINK1
DDOST
KIF17
SH2D5
HP1BP3
EIF4G3
ECE1
NBPF3
ALPL
RAP1GAP
USP48
LDLRAD2
HSPG2
CELA3B
CELA3A
CDC42
WNT4
ZBTB40
EPHA8
EPHB2
LACTBL1
C1orf234
KDM1A
LUZP1
HTR1D
HNRNPR
ZNF436
C1orf213
TCEA3
ASAP3
E2F2
MDS2
RPL11
TCEB3
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
CNR2
PNRC2
SRSF10
MYOM3
IL22RA1
IFNLR1
GRHL3
STPG1
NIPAL3
RCAN3
NCMAP
SRRM1
CLIC4
RUNX3
SYF2
RSRP1
TMEM50A
RHCE
TMEM57
LDLRAP1
MAN1C1
SEPN1
MTFR1L
AUNIP
PAQR7
STMN1
PAFAH2
EXTL1
SLC30A2
TRIM63
PDIK1L
FAM110D
CNKSR1
CATSPER4
CEP85
SH3BGRL3
UBXN11
CD52
AIM1L
ZNF683
LIN28A
DHDDS
HMGN2
RPS6KA1
ARID1A
PIGV
ZDHHC18
SFN
GPN2
GPATCH3
NUDC
KDF1
TRNP1
FAM46B
SLC9A1
WDTC1
TMEM222
SYTL1
MAP3K6
FCN3
CD164L2
GPR3
WASF2
AHDC1
FGR
IFI6
FAM76A
STX12
PPP1R8
THEMIS2
RPA2
SMPDL3B
XKR8
EYA3
PTAFR
DNAJC8
ATPIF1
SESN2
MED18
PHACTR4
RCC1
TRNAU1AP
TAF12
GMEB1
YTHDF2
OPRD1
EPB41
TMEM200B
SRSF4
MECR
PTPRU
MATN1
LAPTM5
SDC3
PUM1
NKAIN1
SNRNP40
ZCCHC17
FABP3
SERINC2
TINAGL1
HCRTR1
PEF1
COL16A1
BAI2
SPOCD1
PTP4A2
KHDRBS1
TMEM39B
KPNA6
TXLNA
CCDC28B
IQCC
DCDC2B
TMEM234
EIF3I
LCK
HDAC1
MARCKSL1
TSSK3
BSDC1
RP1-27O5.3
ZBTB8OS
RBBP4
SYNC
KIAA1522
YARS
S100PBP
FNDC5
HPCA
TMEM54
RNF19B
AK2
AZIN2
TRIM62
ZNF362
PHC2
ZSCAN20
CSMD2
C1orf94
SMIM12
DLGAP3
RP11-244H3.4
ZMYM6
ZMYM1
SFPQ
ZMYM4
KIAA0319L
NCDN
TFAP2E
PSMB2
C1orf216
CLSPN
AGO4
AGO1
AGO3
TEKT2
ADPRHL2
COL8A2
TRAPPC3
MAP7D1
THRAP3
SH3D21
RP11-268J15.5
STK40
LSM10
OSCP1
MRPS15
CSF3R
GRIK3
ZC3H12A
MEAF6
SNIP1
DNALI1
GNL2
RSPO1
C1orf109
CDCA8
EPHA10
MANEAL
YRDC
C1orf122
MTF1
INPP5B
SF3A3
FHL3
UTP11L
POU3F1
RRAGC
RHBDL2
AKIRIN1
NDUFS5
MACF1
BMP8A
PABPC4
HEYL
NT5C1A
HPCAL4
PPIE
BMP8B
TRIT1
MYCL
MFSD2A
CAP1
PPT1
RLF
TMCO2
ZMPSTE24
COL9A2
SMAP2
ZFP69B
ZFP69
EXO5
ZNF684
RIMS3
NFYC
KCNQ4
CITED4
CTPS1
SLFNL1
SCMH1
FOXO6
HIVEP3
FOXJ3
RIMKLA
ZMYND12
PPCS
CCDC30
PPIH
YBX1
CLDN19
LEPRE1
C1orf50
CCDC23
ERMAP
ZNF691
SLC2A1
FAM183A
EBNA1BP2
TMEM125
TIE1
MPL
CDC20
ELOVL1
MED8
SZT2
HYI
PTPRF
KDM4A
ST3GAL3
ARTN
IPO13
DPH2
ATP6V0B
B4GALT2
SLC6A9
KLF17
DMAP1
ERI3
RNF220
TMEM53
C1orf228
KIF2C
RPS8
BEST4
PLK3
BTBD19
PTCH2
EIF2B3
HECTD3
UROD
ZSWIM5
HPDL
MUTYH
TOE1
TESK2
CCDC163P
MMACHC
PRDX1
AKR1A1
NASP
CCDC17
GPBP1L1
TMEM69
IPP
MAST2
PIK3R3
RP4-533D7.6
TSPAN1
POMGNT1
LURAP1
RAD54L
LRRC41
UQCRH
NSUN4
FAAH
DMBX1
MKNK1
ATPAF1
EFCAB14
CYP4B1
CYP4A11
CYP4X1
CYP4Z1
PDZK1IP1
TAL1
STIL
CMPK1
TRABD2B
SLC5A9
SPATA6
AGBL4
ELAVL4
DMRTA2
FAF1
CDKN2C
C1orf185
RNF11
TTC39A
EPS15
OSBPL9
NRD1
RAB3B
TXNDC12
BTF3L4
ZFYVE9
CC2D1B
ORC1
PRPF38A
ZCCHC11
GPX7
FAM159A
COA7
ZYG11B
ZYG11A
ECHDC2
SCP2
PODN
SLC1A7
CPT2
C1orf123
MAGOH
LRP8
DMRTB1
GLIS1
NDC1
YIPF1
DIO1
HSPB11
LRRC42
LDLRAD1
TMEM59
TCEANC2
CDCP2
RP11-446E24.4
MRPL37
SSBP3
ACOT11
MROH7-TTC4
TTC4
PARS2
TTC22
C1orf177
DHCR24
BSND
PCSK9
USP24
PPAP2B
PRKAA2
C1orf168
C8A
C8B
DAB1
MYSM1
JUN
FGGY
HOOK1
CYP2J2
C1orf87
NFIA
TM2D1
INADL
L1TD1
KANK4
USP1
DOCK7
ATG4C
ALG6
ITGB3BP
PGM1
ROR1
UBE2U
CACHD1
RAVER2
JAK1
AK4
DNAJC6
LEPR
PDE4B
SGIP1
TCTEX1D1
INSL5
WDR78
MIER1
SLC35D1
C1orf141
IL23R
IL12RB2
SERBP1
GADD45A
GNG12
WLS
RPE65
DEPDC1
LRRC7
LRRC40
SRSF11
ANKRD13C
HHLA3
CTH
PTGER3
ZRANB2
NEGR1
LRRIQ3
FPGT-TNNI3K
TNNI3K
ERICH3
CRYZ
TYW3
LHX8
SLC44A5
ACADM
RABGGTB
MSH4
ASB17
ST6GALNAC3
ST6GALNAC5
PIGK
AK5
ZZZ3
USP33
FAM73A
NEXN
FUBP1
DNAJB4
GIPC2
PTGFR
IFI44L
IFI44
ELTD1
LPHN2
TTLL7
PRKACB
SAMD13
DNASE2B
RPF1
GNG5
CTBS
SSX2IP
LPAR3
MCOLN2
WDR63
SYDE2
C1orf52
BCL10
DDAH1
CYR61
ZNHIT6
COL24A1
ODF2L
CLCA2
CLCA1
CLCA4
SH3GLB1
SEP15
HS2ST1
RP5-1052I5.2
LMO4
PKN2
GTF2B
CCBL2
GBP3
GBP1
GBP2
GBP7
GBP4
GBP6
LRRC8B
RP11-302M6.4
LRRC8D
ZNF326
ZNF644
HFM1
CDC7
TGFBR3
BRDT
EPHX4
BTBD8
KIAA1107
C1orf146
GLMN
RPAP2
GFI1
EVI5
RPL5
FAM69A
MTF2
TMED5
CCDC18
DR1
FNBP1L
BCAR3
DNTTIP2
GCLM
ABCA4
ARHGAP29
ABCD3
F3
SLC44A3
CNN3
ALG14
PTBP2
DPYD
SNX7
LPPR5
LPPR4
PALMD
FRRS1
AGL
SLC35A3
HIAT1
SASS6
TRMT13
LRRC39
DBT
RTCA
CDC14A
GPR88
VCAM1
EXTL2
SLC30A7
DPH5
S1PR1
OLFM3
COL11A1
RNPC3
AMY2B
AMY2A
AMY1A
PRMT6
NTNG1
VAV3
SLC25A24
FAM102B
HENMT1
PRPF38B
FNDC7
STXBP3
AKNAD1
RP11-475E11.9
WDR47
TAF13
TMEM167B
C1orf194
KIAA1324
SARS
CELSR2
PSRC1
MYBPHL
SORT1
PSMA5
SYPL2
ATXN7L2
CYB561D1
