ENSG00000204946.6,ENSG00000162408.10,ENSG00000089335.17,ENSG00000139890.6,ENSG00000137414.5,ENSG00000276234.1,ENSG00000134897.10,ENSG00000188636.3,ENSG00000163793.9,ENSG00000261678.2,ENSG00000149716.9,ENSG00000129946.7,ENSG00000102921.4,ENSG00000117528.8,ENSG00000108064.7,ENSG00000184277.9,ENSG00000158270.10,ENSG00000176273.11,ENSG00000103034.11,ENSG00000170615.11,ENSG00000182667.11,ENSG00000058673.12,ENSG00000185480.8,ENSG00000143882.6,ENSG00000144136.7,ENSG00000187266.10,ENSG00000142864.11,ENSG00000114631.10,ENSG00000089486.13,ENSG00000170927.11,ENSG00000138660.8,ENSG00000174720.12,ENSG00000213654.6,ENSG00000119314.12,ENSG00000174456.10,ENSG00000161249.17,ENSG00000266074.5,ENSG00000105948.10,ENSG00000183971.5,ENSG00000131711.11,ENSG00000130675.11,ENSG00000108654.8,ENSG00000118523.5,ENSG00000162975.4,ENSG00000143162.7,ENSG00000139044.7,ENSG00000172572.6,ENSG00000105649.6,ENSG00000162592.5,ENSG00000182621.13
1.04004629909244,0,0.0851373305624527,0.0191144655118629,0,0,0.0158391021423234,0.017372475334435,-0.0652365983924004,0,0.0151280833842205,0,0.0141147240998532,-0.0728827549438232,0,-0.0415019389709059,0.0627995877846484,0,0,-0.053976972859621,0,-0.0238448832310965,0,0.0741358799395478,0,0.0498816465326474,0,-0.153251168656368,-0.0209510671470181,0,0,-0.00527886126395768,0,0,0,0.0123999515609663,0.0666424127350558,0.0669716837368841,0.0500711726618834,-0.022267335598767,0,0,-0.0553731285979433,0,-0.0973328118265308,0,0.0233858207154454,0,0,-0.0201639896549987
0,1.0849498327261,0,0,0,-0.0159846672639031,0,-0.068295058272417,-0.114139012980497,-0.0875474142422553,0,0,0.00114867037725711,0,0,0,0.0023170457312152,-0.0212381501765111,0,0.0373279825893212,0.0802297636394321,0.00499580014803005,-0.148489582424496,0.0217775507347127,-0.0373577726670722,0.0762857555281692,-0.0534732904352327,-0.00709726017648305,0.0295610160730972,0,0,0.00462547222526737,0.0275342402121682,0,-0.184248429781377,-0.0177972456505174,0,-0.0391940948247305,0,0,-0.020558568050045,0,0,-0.0411395893594576,0.0557122578682717,0,-0.00831504742964263,0,0.0526476394883812,0.0350182619458035
0.0851365627167054,0,1.11746928728205,-0.171792114716298,0,-0.00206568027723573,0,-0.00586815110130878,0.0751899105281093,-0.0701673066862309,0,0,0,-0.0740536243439189,0,-0.022705605754605,0.0128438930397173,0,-0.02070929802386,0,0,0,0,0,0,-0.0076520730814108,-0.0521989849842921,0.0456375595625821,-0.159553713286238,0,-0.022058688622749,0,0.0217774650382247,-0.0557062751057248,0.01597135714628,0,-0.00898457207090966,0.10141254653231,0.0256918903448036,-0.0257605832955039,0,-0.142777201372099,0,-0.144408551536475,0,-0.119723119779407,0.0295073385000422,0.0223053064570569,0,0
0.019114479369054,0,-0.171792006205626,1.04215550606993,-0.0193204312895319,-0.0279854770952222,0,0,0,-0.00564425290455836,0,0.0154518814008847,-0.105034450304628,0.0333555514759127,0.0305461430404398,0,-0.182649891086008,0.000131023779764953,-0.0179966537483726,0,0,0.00353019122338789,0,0,-0.114580232429629,0,0,0.0310667379354813,-0.00268884320507458,0,0,0,0,0,0.0113497628878439,0,0,0.00760021057656965,0.00389797919625577,0,0,0,0,0.0732205703307948,0.0152188419478467,0,0.0413465217114188,0.0666097870199408,0.0495784063391757,0
0,0,0,-0.0193209129751689,1.11961650165957,0,-0.0836723582424204,0,0,0,0.0222931016260451,0,0,0,0,0.173545077158835,0.031150470009363,-0.0261480719297123,-0.061331970817954,0,0,0.00342343190778091,0.026428987148376,-0.00188718454659227,0,0.0409803425230092,0,-0.0142995023812867,0,0.0687405747365284,-0.0938193592318577,0,-0.170997223142041,0,0,0,0,0,0.0643274070802593,-0.0342244860399016,0,0,-0.155492738922308,0,0,0.172481223739904,0,-0.150562095932106,-0.00383888680239099,-0.00731646162764867
0,-0.0159837740686729,-0.00206506201324867,-0.0279850522131287,0,1.04537369470711,0.0429744081219138,0,-0.0126746027506393,0,0.0560862816047084,0,-0.0173136842189528,-0.0291605110276819,-0.00427617790598681,-0.0577443875184207,0,0,-0.0257203100275407,-0.0038948738306216,0,-0.0970868118245262,-0.109732366384554,0.0796744325151821,-0.128809213994341,0,0,-0.0573609111934511,-0.114761144873422,0,0,0,0,-0.121012979108031,0,-0.00972860055436235,-0.0633152903824426,0,0,-0.0106509603273033,0,0,0,0,0.0101208463859632,0,0,0,-0.0485126674833866,-0.00867019699882352
0.0158385168446807,0,0,0,-0.0836722869724653,0.0429746418975138,1.16329897839507,0,0.0202314523821607,0,-0.116444649171464,-0.0980568364947063,0,0,0.0458370014015027,0,0.115939490361699,0,0.258813635197038,0.0564854092516262,0,0,-0.139858319264133,0.0252616792772084,0,0,0,0,-0.110001707725999,0,-0.131112824998998,0,0.0309432690821568,-0.0483152431697941,0.052501011640646,-0.216693643311491,0,0,0,0.113495954073684,-0.0211125321814324,0,0.0106581365623048,0,-0.00587705868627663,0,0.129942408629133,0,0,0
0.0173721032274589,-0.068297115585247,-0.00586860313045983,0,0,0,0,1.38532416394592,0.0354308374150402,-0.342922290724029,0,0.0293155496070521,-0.12111753248896,0,0.0123967113886607,-0.0708036294060998,0.12576816519581,0,-0.0510675132701495,0,0,-0.0650885565306163,0,0,0,-0.29376994729459,0,0,-0.115650748071654,0,0,-0.00942109275675002,0.0363401412198128,0.0776330350267207,-0.128985427196288,0,-0.104645339887773,-0.118200389390105,0,-0.0265977973309108,0.0544034106669145,-0.0314020276166854,0,-0.251281630993489,-0.0224620804808905,0,0.0612114553730953,-0.13403293448989,0.0116364265631778,-0.0124245737872557
-0.0652368872435754,-0.114139331972235,0.0751897667439063,0,0,-0.0126743973700807,0.0202317945635648,0.0354328039909613,1.13457051219521,0,-0.070746436117825,0,0,-0.201818823963203,0,0,-0.0153233734225883,0.213442275901561,0.0733508747011007,0.0409394060839848,-0.135277922371397,0,0,0,0.0175630026999365,0.0156884165422596,0.0148091585075201,0,-0.0871300710506176,0,0.00355289491870827,0,0,-0.0243081231980231,0.060619835910497,0,0.125897872525405,0,0.0503188382772289,0,0,0,0,-0.0191330601917555,-0.00975307009377994,-0.0312153152141033,0,-0.0948255458641512,0.0212303104391335,-0.0659519535078289
0,-0.0875473579398289,-0.0701673232746306,-0.00564401688349269,0,0,0,-0.34292383177447,0,1.23903057541111,0.00425267333405999,0.116310372032166,0,0.0506471182482487,0,0.041358579607874,-0.0302649117842617,0,-0.0186919857092965,0,0,0.183229943847491,0,0.0461759079266094,0,0.0416159811297334,0,0,0,-0.00633401106825514,0.0866560464107331,0.00802912586712831,0,-0.0358426042637931,-0.134124741477163,-0.0794814671216545,0,0,-0.146732550462562,0,0,0,-0.0729720662278259,0,0,0.120676337514613,0,-0.200929653165246,0.0326796661784859,-0.0148968930344765
