01.cl01_nc,01.cl02_nc,01.cl03_nc,01.cl04_nc,01.cl05_nc,01.cl06_nc,01.cl07_nc,01.cl08_nc,01.cl09_nc,01.cl10_nc,01.cl11_nc,01.cl13_nc,01.cl14_nc,01.cl15_nc,01.cl16_nc,01.cl17_nc
PRKAR2A,3.92065674360641,4.57448617898559,4.70119247767259,4.95657675003273,4.53696095958953,4.31700132819295,4.5611117798971,4.4749461642748,4.86156847519181,4.03365932206215,4.29521717406321,4.61764894267653,4.4509489702314,4.1801506349288,4.66038157645783,4.89073750650518
PRKAR1B,6.44464087062906,7.08164214491827,6.40213349781041,6.84215892801859,6.49480074668167,6.1360575066098,6.71379084468324,6.46492461790214,5.47689172781061,5.30797382547698,5.09071046690355,5.14316816423885,4.80644702207861,5.04018289336312,5.24278881570326,5.57553880349133
PRKAR2B,4.90931119580892,4.98381601154101,4.55033887078589,5.57500921116165,5.19297493296073,4.82445490199061,4.81380371874092,5.88139229991149,3.63046073900644,2.92560511062809,3.16828061589599,3.4036915812343,2.92034769286251,4.12112402734473,5.65572761946311,5.214627753478
PRKAR1A,5.02707241286388,4.37461849541902,5.09122900901318,3.90423985238043,4.70837912616207,3.67908112155277,4.90369090275113,4.77730660540912,5.60178280750344,4.0701083747702,4.20979588666624,5.52692116090843,4.83682264666776,4.94613216948341,6.00725512386098,4.81364429022063
